Date,Google Trends: Last Christmas by Wham! (United Kingdom),Live births in the UK and Wales
2008-06,1,58491
2008-07,0,61811
2008-08,1,60407
2008-09,2,60229
2008-10,2,59749
2008-11,10,57201
2008-12,42,58591
2009-01,1,57361
2009-02,2,53033
2009-03,1,58560
2009-04,1,57447
2009-05,1,59058
2009-06,1,58620
2009-07,1,61636
2009-08,0,59495
2009-09,1,60130
2009-10,2,61529
2009-11,9,59172
2009-12,41,60207
2010-01,1,60179
2010-02,1,54551
2010-03,0,59965
2010-04,1,57196
2010-05,0,59444
2010-06,0,59459
2010-07,3,62166
2010-08,1,60598
2010-09,2,62986
2010-10,2,64542
2010-11,9,60745
2010-12,32,61334
2011-01,1,60232
2011-02,1,54998
2011-03,1,59814
2011-04,1,57851
2011-05,1,60978
2011-06,1,60835
